"Year.Quarter","HPI"
"19874",65.51
"19881",67.32
"19882",70.16
"19883",70.1
"19884",70.07
"19891",71.71
"19892",69.43
"19893",72.73
"19894",72.66
"19901",74.09
"19902",75.34
"19903",76.84
"19904",76.79
"19911",79.35
"19912",78.09
"19913",80.45
"19914",82.46
"19921",83.36
"19922",83.86
"19923",86.19
"19924",85.59
"19931",88.18
"19932",88.88
"19933",91.4
"19934",92.09
"19941",93.09
"19942",96.62
"19943",96.34
"19944",98.58
"19951",100
"19952",99.61
"19953",104.01
"19954",103.75
"19961",103.55
"19962",106.5
"19963",105.91
"19964",106.03
"19971",108.72
"19972",110.29
"19973",112.12
"19974",113.57
"19981",113.73
"19982",113.88
"19983",117.4
"19984",117.91
"19991",118.78
"19992",121.08
"19993",121.67
"19994",121.17
"20001",122.93
"20002",125.13
"20003",126.59
"20004",127.38
"20011",128.94
"20012",130.84
"20013",132.32
"20014",133.02
"20021",134.14
"20022",134.1
"20023",136.43
"20024",136.88
"20031",137.99
"20032",138.18
"20033",140.53
"20034",143.42
"20041",143.72
"20042",146.28
"20043",148.37
"20044",147.75
"20051",147.91
"20052",150.77
"20053",153.78
"20054",154.18
"20061",153.92
"20062",155.73
"20063",153.33
"20064",154.75
"20071",154.86
"20072",157.73
"20073",157.19
"20074",157.89
"20081",160.02
"20082",157.77
"20083",156.3
"20084",156.76
"20091",159.33
"20092",157.86
"20093",156.42
"20094",157.69
"20101",153.39
"20102",157.33
"20103",157.55
"20104",158.1
"20111",153.77
"20112",153.39
"20113",156.79
"20114",156.84
"20121",156.45
"20122",155.88
"20123",157.31
"20124",157.35
"20131",159.34
"20132",160.64
"20133",163
"20134",167.27
"20141",164.12
"20142",167.49
"20143",171.68
"20144",172.65
"20151",170.43
"20152",175.64
"20153",176.61
"20154",179.73
"20161",180.35
"20162",185.63
"20163",183.64
"20164",185.34
"20171",184.66
"20172",195.82
