"MSSubClass","MSZoning","LotFrontage","LotArea","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","SaleType","SaleCondition","LotShape.LandContour.interaction","Garage.interaction","Basement.interaction","Room.size","full.YrSold","QuarterSold","TotalBath","BathToBed","AvgHouseLivArea.ratio","SalePrice"
"20","RL",59.286792548,7153,"NA","Reg","Lvl","Inside","Gtl","SawyerW","Norm","1Fam","1Story",5,6,1991,1991,"Gable","CompShg","HdBoard","HdBoard","BrkFace",88,"3","TA","CBlock","Gd","TA","No","GLQ",1200,"Unf",0,78,1278,"GasA","4","Y","SBrkr",1294,0,0,1294,1,0,2,0,3,1,"4",6,"Typ",0,"NA","Attchd",1991,"RFn",2,496,"TA","TA","Y",112,51,0,0,0,0,"NA","GdWo","NA",0,"WD","Normal","Reg.Lvl","2.TA","Gd.1",216,200806,2,3,0.666666666666667,0.862229890168689,179200
"80","RL",72,7200,"NA","Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","SLvl",5,5,1976,1976,"Hip","CompShg","MetalSd","MetalSd","BrkFace",255,"3","TA","CBlock","TA","TA","Av","ALQ",631,"Unf",0,410,1041,"GasA","5","Y","SBrkr",1125,0,0,1125,1,0,1,0,3,1,"3",6,"Typ",1,"Fa","Detchd",1977,"Unf",1,352,"TA","TA","Y",296,0,0,0,0,0,"NA","GdWo","NA",0,"WD","Abnorml","Reg.Lvl","1.TA","TA.1",188,200910,4,2,0.333333333333333,0.749620267727802,125000
"20","RL",78,10140,"NA","Reg","Lvl","Inside","Gtl","NWAmes","RRAn","1Fam","1Story",4,6,1998,1999,"Hip","CompShg","VinylSd","VinylSd","None",0,"4","TA","PConc","Ex","TA","No","LwQ",144,"GLQ",1127,379,1650,"GasA","5","Y","SBrkr",1680,0,0,1680,1,0,2,0,3,1,"4",7,"Maj",1,"TA","Attchd",1998,"Fin",2,583,"TA","TA","Y",78,73,0,0,0,0,"NA","NA","NA",0,"WD","Normal","Reg.Lvl","2.TA","Ex.1",240,200906,2,3,0.666666666666667,1.11943293314018,213250
"20","RL",75,7875,"NA","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,5,1961,1961,"Gable","CompShg","VinylSd","VinylSd","BrkFace",136,"3","TA","CBlock","TA","TA","No","Rec",572,"Unf",0,572,1144,"GasA","4","Y","SBrkr",1144,0,0,1144,1,0,1,0,3,1,"3",6,"Typ",0,"NA","Attchd",1961,"Unf",2,456,"TA","TA","Y",0,0,0,0,0,0,"NA","GdWo","NA",0,"WD","Normal","Reg.Lvl","2.TA","TA.1",191,200809,3,2,0.333333333333333,0.762280521138316,139950
"60","RL",107,10186,"NA","IR1","Lvl","Inside","Gtl","NoRidge","Norm","1Fam","2Story",4,6,1992,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"4","TA","PConc","Gd","TA","No","GLQ",674,"Unf",0,76,750,"GasA","5","Y","SBrkr",1061,862,0,1923,1,0,2,1,3,1,"4",8,"Typ",1,"TA","Attchd",1992,"RFn",2,564,"TA","TA","Y",240,39,0,0,0,0,"NA","NA","NA",0,"WD","Normal","IR1.Lvl","2.TA","Gd.1",240,201006,2,4,1,1.28135091096939,190000
"60","RL",92.8547208698822,16659,"NA","IR1","Lvl","Corner","Gtl","NWAmes","PosN","1Fam","2Story",4,4,1977,1994,"Gable","CompShg","Plywood","Plywood","BrkFace",34,"3","TA","CBlock","TA","TA","No","ALQ",795,"Unf",0,0,795,"GasA","2","Y","SBrkr",1468,795,0,2263,1,0,2,1,3,1,"4",9,"Typ",1,"TA","Attchd",1977,"Fin",2,539,"TA","TA","Y",0,250,0,0,0,0,"NA","NA","NA",0,"WD","Normal","IR1.Lvl","2.TA","TA.1",251,200603,1,4,1,1.5079028141049,235000
"120","RL",48,6955,"NA","IR1","Lvl","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story",4,6,2005,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",94,"4","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1368,1368,"GasA","5","Y","SBrkr",1368,0,0,1368,0,0,2,0,2,1,"4",6,"Typ",1,"Gd","Attchd",2005,"RFn",2,474,"TA","TA","Y",132,35,0,0,0,0,"NA","NA","NA",0,"New","Partial","IR1.Lvl","2.TA","Gd.0",228,200609,3,2,1,0.911538245557007,202500
"60","RL",75,9750,"NA","Reg","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","2Story",4,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"3","TA","PConc","Gd","TA","Av","GLQ",975,"Unf",0,133,1108,"GasA","5","Y","SBrkr",1108,989,0,2097,1,0,2,1,3,1,"4",8,"Typ",1,"TA","Detchd",1998,"RFn",2,583,"TA","TA","Y",253,170,0,0,0,0,"NA","NA","NA",0,"WD","Normal","Reg.Lvl","2.TA","Gd.1",262,200606,2,4,1,1.39729217904462,274300
"160","FV",24,2572,"NA","Reg","Lvl","FR2","Gtl","Somerst","Norm","Twnhs","2Story",4,6,1999,1999,"Hip","CompShg","MetalSd","MetalSd","None",0,"4","TA","PConc","Gd","TA","No","ALQ",604,"Unf",0,92,696,"GasA","5","Y","SBrkr",696,720,0,1416,1,0,2,1,3,1,"4",6,"Typ",0,"NA","Detchd",1999,"Unf",2,484,"TA","TA","Y",0,44,0,0,0,0,"NA","NA","NA",0,"WD","Normal","Reg.Lvl","2.TA","Gd.1",236,201005,2,4,1,0.943522043646726,155000
"30","RM",51,6120,"NA","Reg","Lvl","Inside","Gtl","BrkSide","Norm","1Fam","1Story",6,4,1925,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"3","TA","BrkTil","TA","TA","No","Rec",489,"Unf",0,279,768,"GasA","3","N","SBrkr",1015,0,0,1015,0,0,1,0,3,1,"3",6,"Min1",0,"NA","Detchd",1925,"Unf",1,450,"TA","TA","Y",0,0,112,0,120,0,"NA","MnPrv","Shed",620,"WD","Abnorml","Reg.Lvl","1.TA","TA.0",169,200607,3,1,0.333333333333333,0.676324063772194,88000
