,MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,Garage.interaction,new.old,Room.size,full.YrSold,QuarterSold,TotalBath,BathToBed,AvgHouseLivArea.ratio,SalePrice
1,60,RL,65,8450,NA,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,4,6,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196,4,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,5,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,4,8,Typ,0,NA,Attchd,2003,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,NA,NA,NA,0,WD,Normal,2.TA,2.16326530612241,214,200802,1,3.5,1.15759809234771,0.932071882665065,208500
2,20,RL,80,9600,NA,Reg,Lvl,FR2,Gtl,Veenker,Feedr,1Fam,1Story,5,3,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0,3,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,5,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,3,6,Typ,1,TA,Attchd,1976,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,NA,NA,NA,0,WD,Normal,2.TA,-2.58333333333326,210,200705,2,2.5,0.728712871287129,0.742753445485311,181500
3,60,RL,68,11250,NA,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,4,6,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162,4,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,5,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,4,6,Typ,1,TA,Attchd,2001,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,NA,NA,NA,0,WD,Normal,2.TA,0.163265306122412,298,200809,3,3.5,1.15759809234771,0.973497299672401,223500
4,70,RL,60,9550,NA,IR1,Lvl,Corner,Gtl,Crawfor,Norm,1Fam,2Story,4,6,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0,3,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,4,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,4,7,Typ,1,Gd,Detchd,1998,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,NA,NA,NA,0,WD,Abnorml,3.TA,-12.9354838709678,245,200602,1,2,0.544973544973545,0.943105708919522,140000
5,60,RL,84,14260,NA,IR1,Lvl,FR2,Gtl,NoRidge,Norm,1Fam,2Story,3,6,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350,4,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,5,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,4,9,Typ,1,TA,Attchd,2000,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,NA,NA,NA,0,WD,Normal,3.TA,4.52459016393436,244,200812,4,3.5,0.853365384615385,0.878387851232631,250000
6,50,RL,85,14115,NA,IR1,Lvl,Inside,Gtl,Mitchel,Norm,1Fam,1.5Fin,6,6,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0,3,TA,Other,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,5,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,3,5,Typ,0,NA,Attchd,1993,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,NA,MnPrv,Shed,700,WD,Normal,2.TA,16.75,272,200910,4,2.5,2.47385064461202,0.808308605341246,143000
7,20,RL,75,10084,NA,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,3,6,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186,4,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,5,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,4,7,Typ,1,Gd,Attchd,2004,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,NA,NA,NA,0,WD,Normal,2.TA,-2.38571428571436,242,200708,3,3,0.720792079207921,1.09768854082776,307000
8,60,RL,72.2468112189284,10382,NA,IR1,Lvl,Corner,Gtl,NWAmes,PosN,1Fam,2Story,4,5,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240,3,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,5,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,3,7,Typ,2,TA,Attchd,1973,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,NA,NA,Shed,350,WD,Normal,2.TA,-3.40816326530603,299,200911,4,3.5,1.25490947408756,1.03604560583528,2e+05
9,50,RM,51,6120,NA,Reg,Lvl,Inside,Gtl,OldTown,Artery,1Fam,1.5Fin,4,6,1931,1950,Gable,CompShg,Brick,Wd Shng,None,0,3,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,4,Y,FuseFP,1022,752,0,1774,0,0,2,0,2,2,3,8,Min1,2,TA,Detchd,1931,Unf,2,468,FaPo,TA,Y,90,0,205,0,0,0,NA,NA,NA,0,WD,Abnorml,2.FaPo,7.60869565217399,222,200804,2,2,1.87832949687603,1.22326487782941,129900
10,190,RL,50,7420,NA,Reg,Lvl,Corner,Gtl,BrkSide,Artery,2fmCon,1.5Fin,6,5,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,5,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,3,5,Typ,2,TA,Attchd,1939,RFn,1,205,ExGd,TA,Y,0,4,0,0,0,0,NA,NA,NA,0,WD,Normal,2.FaPo,-15.5,215,200801,1,2,1.01758793969849,1.05743740795287,118000
