,feature,importance
13,OverallQual,0.1694640534676976
82,AvgHouseLivArea.ratio,0.08012417400099878
42,GrLivArea,0.07969734042047238
23,ExterQual,0.07472568663699468
34,TotalBsmtSF,0.04936412205870669
15,YearBuilt,0.0491673210958021
80,TotalBath,0.04754107756387533
49,KitchenQual,0.03987893763071583
57,GarageCars,0.03575380146310168
39,X1stFlrSF,0.03290683767969085
58,GarageArea,0.032460439742516646
45,FullBath,0.020865500613118145
55,GarageYrBlt,0.019711061346126293
30,BsmtFinSF1,0.018734160588542628
16,YearRemodAdd,0.018679171125446033
3,LotArea,0.013781113000681314
77,Room.size,0.011734908991174062
75,Garage.interaction,0.011074775850245107
2,LotFrontage,0.010674398751676166
52,Fireplaces,0.010005506844587207
40,X2ndFlrSF,0.009812708980364664
81,BathToBed,0.009561835584829564
14,OverallCond,0.008895303754946323
53,FireplaceQu,0.008787980341391315
50,TotRmsAbvGrd,0.008610826150221627
26,BsmtQual,0.007407840151137214
76,Basement.interaction,0.00712028915002657
37,CentralAir,0.006663821719967013
54,GarageType,0.006323575152514899
33,BsmtUnfSF,0.006234888848369028
25,Foundation,0.005980458433954629
36,HeatingQC,0.005538698026429628
9,Neighborhood,0.004748611612012404
1,MSZoning,0.004258703746140352
22,MasVnrArea,0.0040340527851142555
78,full.YrSold,0.003842701162304129
0,MSSubClass,0.003673829146105371
47,BedroomAbvGr,0.003620136575327695
56,GarageFinish,0.003426849490056713
63,OpenPorchSF,0.0034177919043314126
19,Exterior1st,0.003240039362757293
20,Exterior2nd,0.0028056349964127327
29,BsmtFinType1,0.0026263388953728663
62,WoodDeckSF,0.0025611842267137985
24,ExterCond,0.0022148891698608613
74,LotShape.LandContour.interaction,0.002073090987846846
28,BsmtExposure,0.001950761525755846
51,Functional,0.001902363967861571
60,GarageCond,0.0018600500828804426
27,BsmtCond,0.0018599797622018978
43,BsmtFullBath,0.0017804092816708459
64,EnclosedPorch,0.0016911278817103908
11,BldgType,0.0015998963009757037
79,QuarterSold,0.0015891345995687708
12,HouseStyle,0.0014548193650177
73,SaleCondition,0.0013799119403777919
46,HalfBath,0.0013383583952050748
17,RoofStyle,0.001331196547636617
5,LotShape,0.0013091674834366455
59,GarageQual,0.0012256242257369047
61,PavedDrive,0.001147603618228231
38,Electrical,0.0010221814718497984
6,LandContour,0.000970867003399447
21,MasVnrType,0.0009312281156886369
69,Fence,0.0009166638919807358
48,KitchenAbvGr,0.0008542884499209652
32,BsmtFinSF2,0.0008486929318848454
7,LotConfig,0.0008247399763472902
10,Condition1,0.0008084201622406798
31,BsmtFinType2,0.0007614340057034651
4,Alley,0.0007613035055232635
72,SaleType,0.0006841217039307188
66,ScreenPorch,0.0006768704910108592
8,LandSlope,0.0006525595646293181
71,MiscVal,0.0003836059907353804
44,BsmtHalfBath,0.000309471889536394
35,Heating,0.00030308604666970444
18,RoofMatl,0.00028757369559774976
41,LowQualFinSF,0.00020361340719411277
70,MiscFeature,0.00017765408816699044
68,PoolQC,0.00012876511080128376
65,X3SsnPorch,0.00012387400774145112
67,PoolArea,0.00012211028450356576
