"Id","splines_features"
1,207566.938884953
2,214669.16703789
3,214696.624573091
4,178819.382191367
5,287441.48313766
6,161601.132924416
7,278197.851724168
8,223577.756181679
9,133808.600158494
10,127447.031380638
11,131974.60813512
12,398769.01760964
13,130386.663239376
14,222507.429839459
15,145282.838764433
16,130477.85405616
17,162006.880977214
18,110184.983079807
19,149052.033359887
20,123556.094626767
21,313952.321019611
22,120812.698304778
23,229980.108332764
24,130408.931309946
25,159407.283910131
26,250735.779727749
27,133248.473860319
28,294671.508849094
29,198368.406205741
30,62350.6448287093
31,74660.9985237311
32,142726.641937866
33,192626.023529516
34,172395.463753505
35,296247.191344929
36,305029.970294491
37,157291.510508754
38,156429.720151531
39,131055.412045712
40,73293.3719708095
41,144191.322160292
42,172447.458770687
43,146538.486288648
44,129600.422607087
45,139746.225220351
46,292548.569442214
47,254924.516954278
48,243808.524894703
49,91003.5843463782
50,139051.233676213
51,181464.892365025
52,127833.494065312
53,99715.8360049429
54,383476.905148817
55,126556.55802667
56,162993.330431984
57,193447.848814293
58,193799.743980588
59,471001.031938382
60,127011.030935445
61,167382.640302605
62,110455.692753248
63,212734.447067497
64,128900.973768641
65,240031.539841673
66,291506.969035675
67,235572.54884321
68,211349.101581006
69,77984.5765226462
70,238052.549602142
71,287382.766552496
72,123525.035799677
73,190765.59812776
74,137755.612395188
75,100843.77959891
76,100454.363617205
77,122852.396081778
78,124731.022837485
79,114346.48370842
80,110663.787718642
81,203485.469210431
82,160262.129252576
83,247832.657006002
84,121484.061907779
85,163708.036320808
86,268109.725352027
87,183524.611935376
88,169711.029924418
89,49740.6157350057
90,124243.881631645
91,115551.832194082
92,108050.653346236
93,133653.468584997
94,118478.170317908
95,189884.025095906
96,194260.493864525
97,218195.377486225
98,116262.290570663
99,75241.7546096702
100,115447.465102556
101,213011.22477899
102,166919.234760469
103,98550.8944543513
104,184203.952494121
105,157365.925611291
106,240503.355881769
107,82387.3048710546
108,74709.1397657593
109,107149.613637181
110,204075.458163623
111,141015.111115969
112,180222.843995749
113,390168.227160798
114,225160.477913679
115,252357.458590437
116,177751.223087637
117,120458.249219652
118,144675.085974625
119,359607.996642181
120,184439.571500855
121,178820.47898622
122,106215.01006213
123,145530.667703935
124,159883.879016021
125,166777.604418599
126,98702.6241584715
127,134109.274449582
128,83405.8432547982
129,132399.704318848
130,123666.520166067
131,211509.433210318
132,214542.413191064
133,156132.217986975
134,202751.219627839
135,170866.778185468
136,181651.11536061
137,140773.56672137
138,170025.614164952
139,234389.629896757
140,199455.696303377
141,98634.8168909688
142,236509.329760356
143,119586.475776815
144,215663.36932203
145,133266.848858383
146,124998.575225945
147,115326.675422794
148,217043.689914041
149,146721.496943779
150,115271.413204288
151,139903.951336645
152,318785.489664797
153,173784.323947682
154,216074.006490456
155,96179.4206377004
156,74486.5900576514
157,121334.0393534
158,264826.476679336
159,228365.727947967
160,310531.877818324
161,190637.673050731
162,422974.807941512
163,253446.729955695
164,95780.7529871916
165,156596.544922075
166,104404.930817993
167,176302.392052
168,369925.407631274
169,189905.173402151
170,234640.674861211
171,124586.303751422
172,211863.520169259
173,209759.614758803
174,148150.232219361
175,169994.905247323
176,192442.45016444
177,231964.399622364
178,166341.729560721
179,488594.921938363
180,101368.936399053
181,179571.638267077
182,170062.036310747
183,130121.247629345
184,183640.983865564
185,141052.563029995
186,288465.80624752
187,169509.524369438
188,115293.775173606
189,144555.058477938
190,293860.744585343
191,252674.177877522
192,195465.576994461
193,197094.697583893
194,129363.584295703
195,123232.971925895
196,137751.012792755
197,337518.116662696
198,328927.065730009
199,129205.328427832
200,317608.364966516
201,135995.269559773
202,157667.336271014
203,115212.226917618
204,139349.305296183
205,120046.521864026
206,186715.205836366
207,136886.37738786
208,115350.248395661
209,230560.682308726
210,153174.418903411
211,90433.3935383644
212,167908.730419118
213,247129.570797227
214,156412.208327638
215,150546.620353873
216,131880.829796523
217,212803.754917108
218,92237.4297164759
219,242360.468892925
220,181329.770994974
221,212851.817463767
222,217538.873749125
223,172877.09894115
224,108798.040515395
225,400382.995493884
226,97958.1034413761
227,276707.358707113
228,97112.6732910792
229,109256.491548025
230,195405.479146143
231,126561.218217599
232,394074.641328361
233,92761.5404565706
234,130557.652496116
235,213781.049432714
236,90765.2860666436
237,184987.471234816
238,211899.814337962
239,263418.841455742
240,123881.230954861
241,253351.524373304
242,100163.373342116
243,95922.7318698242
244,135247.371425021
245,224055.632530844
246,214194.161185175
247,132188.230096422
248,143114.315565653
